Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race,Currency_Type
38,Female,Bachelor's,Senior Human Resources Coordinator,10,80000,UK,Asian,GBP
46,Male,Master's,Director of Operations,20,170000,USA,Asian,USD
29,Female,Bachelor's,Junior Sales Representative,2,40000,UK,Welsh,GBP
37,Male,Master's,Senior Business Analyst,9,105000,China,Chinese,CNY
44,Female,PhD,Senior UX Designer,15,145000,USA,Hispanic,USD
27,Male,Bachelor's,Junior Product Manager,2,40000,USA,Hispanic,USD
36,Female,Bachelor's,Senior Marketing Specialist,8,85000,USA,African American,USD
43,Male,Bachelor's,Senior IT Project Manager,14,130000,China,Chinese,CNY
33,Female,Master's,Senior Financial Analyst,6,95000,Canada,White,CAD
34,Male,Bachelor's,Senior Quality Assurance Analyst,9,100000,UK,Mixed,GBP
50,Female,PhD,Director of Sales and Marketing,22,180000,China,Korean,CNY
28,Male,Bachelor's,Junior Operations Analyst,1,35000,UK,Welsh,GBP
39,Female,Bachelor's,Senior Account Executive,12,95000,USA,African American,USD
47,Male,Master's,Director of Business Development,19,170000,Australia,Asian,AUD
30,Female,Bachelor's,Junior Social Media Manager,3,45000,Australia,Australian,AUD
34,Male,Bachelor's,Senior Product Manager,7,95000,China,Chinese,CNY
40,Female,Master's,Senior Human Resources Specialist,13,120000,UK,Welsh,GBP
28,Male,Bachelor's,Junior Business Analyst,2,40000,USA,African American,USD
41,Female,Bachelor's,Senior Marketing Coordinator,11,90000,Canada,Asian,CAD
45,Male,PhD,Senior Data Analyst,17,155000,UK,Asian,GBP
32,Female,Bachelor's,Junior Account Manager,5,55000,Australia,Asian,AUD
35,Male,Master's,Senior Software Developer,9,110000,Canada,Asian,CAD
49,Female,Master's,Director of Human Capital,21,180000,UK,Mixed,GBP
30,Male,Bachelor's,Junior Advertising Coordinator,3,45000,UK,White,GBP
44,Male,Bachelor's,Senior Sales Manager,16,130000,USA,Asian,USD
27,Female,Master's,Junior UX Designer,1,45000,USA,Hispanic,USD
36,Male,Bachelor's,Senior Accountant,7,90000,Canada,White,CAD
41,Female,PhD,Senior Marketing Director,17,160000,UK,Mixed,GBP
31,Male,Bachelor's,Junior HR Generalist,4,50000,China,Chinese,CNY
39,Female,Bachelor's,Senior Operations Manager,10,120000,Australia,Asian,AUD
47,Male,Master's,Director of Finance,20,170000,Australia,Australian,AUD
30,Female,Bachelor's,Junior Marketing Coordinator,2,40000,China,Korean,CNY
38,Male,Master's,Senior IT Consultant,9,110000,China,White,CNY
45,Female,PhD,Senior Product Designer,15,150000,China,Chinese,CNY
28,Male,Bachelor's,Junior Business Development Associate,2,40000,USA,Asian,USD
35,Female,Bachelor's,Senior Marketing Analyst,8,85000,USA,White,USD
44,Male,Bachelor's,Senior Software Engineer,14,130000,China,Chinese,CNY
34,Female,Master's,Senior Financial Advisor,6,100000,UK,Welsh,GBP
35,Male,Bachelor's,Senior Project Coordinator,9,95000,Canada,White,CAD
50,Female,PhD,Director of Operations,22,180000,Australia,Australian,AUD
29,Male,Bachelor's,Junior Business Operations Analyst,1,35000,UK,Asian,GBP
40,Female,Bachelor's,Senior Sales Representative,12,100000,China,Chinese,CNY
48,Male,Master's,Director of Marketing,19,170000,USA,Hispanic,USD
31,Female,Bachelor's,Junior Social Media Specialist,3,45000,UK,Welsh,GBP
33,Male,Bachelor's,Senior Product Development Manager,7,100000,USA,Hispanic,USD
42,Female,Master's,Senior Human Resources Manager,13,140000,China,White,CNY
28,Male,Bachelor's,Junior Financial Analyst,2,40000,Australia,Australian,AUD
40,Female,Bachelor's,Senior Marketing Manager,11,105000,UK,White,GBP
46,Male,PhD,Senior Data Scientist,18,160000,Canada,White,CAD
33,Female,Bachelor's,Junior Operations Manager,5,70000,Australia,Asian,AUD
37,Male,Master's,Senior Software Architect,9,120000,Australia,Australian,AUD
51,Female,Master's,Director of Human Resources,21,190000,USA,Hispanic,USD
30,Male,Bachelor's,Junior Marketing Specialist,3,45000,Canada,Black,CAD
43,Male,Bachelor's,Senior Project Manager,15,120000,Canada,Asian,CAD
27,Female,Master's,Junior Research Scientist,1,50000,China,White,CNY
35,Male,Bachelor's,Senior Operations Analyst,8,85000,Canada,White,CAD
42,Female,PhD,Senior Marketing Manager,13,140000,Canada,White,CAD
32,Male,Bachelor's,Junior Sales Representative,3,45000,Australia,White,AUD
37,Female,Bachelor's,Senior Financial Analyst,9,100000,UK,Welsh,GBP
45,Male,Master's,Senior Software Developer,16,140000,Australia,Asian,AUD
33,Female,Bachelor's,Junior Operations Analyst,5,70000,Canada,Asian,CAD
39,Male,Bachelor's,Senior Marketing Specialist,10,120000,Canada,Black,CAD
44,Female,PhD,Senior HR Manager,18,160000,Canada,White,CAD
29,Male,Bachelor's,Junior Business Analyst,1,40000,Australia,Australian,AUD
38,Female,Bachelor's,Senior Product Manager,10,120000,China,Korean,CNY
46,Male,PhD,Senior Data Analyst,19,150000,UK,Asian,GBP
34,Female,Bachelor's,Junior Marketing Analyst,6,70000,USA,Asian,USD
36,Male,Bachelor's,Senior Operations Manager,8,95000,USA,White,USD
49,Female,Master's,Director of Marketing,21,180000,Canada,White,CAD
31,Male,Bachelor's,Junior Financial Analyst,3,50000,Canada,Black,CAD
41,Female,Bachelor's,Senior Project Coordinator,11,95000,USA,African American,USD
47,Male,Master's,Director of Operations,20,170000,Canada,White,CAD
30,Female,Bachelor's,Junior Marketing Coordinator,2,40000,USA,White,USD
38,Male,Master's,Senior IT Consultant,9,110000,Australia,Australian,AUD
45,Female,PhD,Senior Product Designer,15,150000,China,Korean,CNY
28,Male,Bachelor's,Junior Business Development Associate,2,40000,USA,Asian,USD
35,Female,Bachelor's,Senior Marketing Analyst,8,85000,Canada,White,CAD
44,Male,Bachelor's,Senior Software Engineer,14,130000,Australia,Australian,AUD
34,Female,Master's,Senior Financial Advisor,6,100000,Australia,Australian,AUD
35,Male,Bachelor's,Senior Project Coordinator,9,95000,UK,Asian,GBP
50,Female,PhD,Director of Operations,22,180000,Australia,White,AUD
29,Male,Bachelor's,Junior Business Operations Analyst,1,350,USA,Hispanic,USD
37,Female,Bachelor's,Senior Financial Manager,10,120000,USA,African American,USD
46,Male,PhD,Senior Data Scientist,18,160000,China,Chinese,CNY
31,Female,Bachelor's,Junior Marketing Coordinator,3,50000,Australia,White,AUD
42,Male,Bachelor's,Senior Operations Manager,12,110000,Canada,Black,CAD
29,Female,Bachelor's,Junior Sales Representative,1,40000,USA,African American,USD
36,Male,Bachelor's,Senior Marketing Specialist,8,95000,UK,White,GBP
44,Female,Master's,Senior HR Specialist,15,140000,China,Chinese,CNY
33,Male,Bachelor's,Junior Operations Manager,4,60000,China,Korean,CNY
39,Female,Bachelor's,Senior Marketing Coordinator,9,110000,China,White,CNY
45,Male,PhD,Senior Data Engineer,16,150000,Australia,Asian,AUD
32,Female,Bachelor's,Junior Marketing Manager,4,60000,UK,Welsh,GBP
37,Male,Bachelor's,Senior Financial Analyst,8,90000,Australia,Australian,AUD
47,Female,Master's,Director of Marketing,20,180000,UK,Mixed,GBP
30,Male,Bachelor's,Junior Business Analyst,2,40000,Australia,Australian,AUD
38,Female,Bachelor's,Senior Project Manager,9,120000,UK,Asian,GBP
46,Male,PhD,Senior Data Analyst,17,160000,UK,Asian,GBP
34,Female,Bachelor's,Junior Financial Analyst,5,70000,UK,Mixed,GBP
36,Male,Bachelor's,Senior Product Manager,8,95000,Australia,Asian,AUD
49,Female,Master's,Director of Operations,21,180000,UK,Mixed,GBP
31,Male,Bachelor's,Junior Operations Analyst,3,50000,USA,Hispanic,USD
41,Female,Bachelor's,Senior Project Coordinator,11,95000,Canada,Black,CAD
47,Male,Master's,Director of Marketing,19,170000,Canada,White,CAD
29,Female,Bachelor's,Junior Business Development Associate,1,35000,Australia,White,AUD
35,Male,Bachelor's,Senior Financial Manager,9,100000,Canada,White,CAD
44,Female,PhD,Senior Product Designer,15,150000,China,White,CNY
33,Male,Bachelor's,Junior Business Analyst,4,60000,Canada,Black,CAD
35,Female,Bachelor's,Senior Marketing Analyst,8,85000,China,Chinese,CNY
44,Male,Bachelor's,Senior Software Engineer,13,130000,Canada,White,CAD
32,Male,Bachelor's,Junior Product Manager,4,65000,China,Chinese,CNY
38,Female,Bachelor's,Senior Business Analyst,10,110000,Australia,Asian,AUD
49,Male,PhD,Director of Operations,21,180000,USA,Asian,USD
29,Female,Bachelor's,Junior Marketing Specialist,2,40000,Australia,Australian,AUD
35,Male,Bachelor's,Senior Business Development Manager,7,90000,USA,Hispanic,USD
45,Female,Master's,Senior HR Manager,14,140000,UK,Welsh,GBP
33,Male,Bachelor's,Junior Financial Analyst,4,60000,China,Korean,CNY
40,Female,Bachelor's,Senior Marketing Manager,12,130000,Australia,Asian,AUD
44,Male,PhD,Senior Data Scientist,16,160000,Australia,Asian,AUD
30,Female,Bachelor's,Junior Operations Coordinator,2,40000,Australia,White,AUD
37,Male,Bachelor's,Senior Marketing Analyst,9,100000,UK,Mixed,GBP
48,Female,Master's,Director of HR,20,180000,USA,Hispanic,USD
31,Male,Bachelor's,Junior Project Manager,3,55000,Canada,Black,CAD
38,Female,Bachelor's,Senior Operations Coordinator,9,120000,Canada,Asian,CAD
45,Male,PhD,Senior Data Engineer,16,150000,Canada,Black,CAD
33,Female,Bachelor's,Junior Marketing Manager,5,70000,UK,Mixed,GBP
36,Male,Bachelor's,Senior Business Analyst,8,95000,China,Chinese,CNY
49,Female,Master's,Director of Marketing,21,180000,China,White,CNY
31,Male,Bachelor's,Junior Operations Analyst,3,50000,Canada,Black,CAD
42,Female,Bachelor's,Senior Project Manager,12,120000,Australia,White,AUD
47,Male,Master's,Director of Marketing,19,170000,UK,White,GBP
29,Female,Bachelor's,Junior Business Development Associate,1,35000,Australia,White,AUD
35,Male,Bachelor's,Senior Financial Manager,9,100000,Australia,Asian,AUD
44,Female,PhD,Senior Product Designer,15,150000,Australia,Asian,AUD
33,Male,Bachelor's,Junior Business Analyst,4,60000,UK,White,GBP
35,Female,Bachelor's,Senior Marketing Analyst,8,85000,Canada,Black,CAD
44,Male,Bachelor's,Senior Software Engineer,13,130000,Australia,White,AUD
34,Female,Master's,Senior Financial Advisor,6,80000,Canada,White,CAD
36,Male,Bachelor's,Senior Marketing Specialist,8,95000,Canada,White,CAD
30,Female,Bachelor's,Junior HR Coordinator,2,40000,UK,Welsh,GBP
37,Male,Bachelor's,Senior Business Development Manager,10,120000,China,Chinese,CNY
45,Female,Master's,Senior Marketing Manager,16,160000,Canada,Black,CAD
32,Male,Bachelor's,Junior Financial Advisor,4,65000,USA,Hispanic,USD
39,Female,Bachelor's,Senior Project Manager,12,130000,Canada,White,CAD
47,Male,PhD,Director of Engineering,20,180000,China,White,CNY
29,Female,Bachelor's,Junior Marketing Analyst,2,40000,Australia,Australian,AUD
36,Male,Bachelor's,Senior Operations Manager,9,100000,UK,Asian,GBP
43,Female,PhD,Senior Data Scientist,15,150000,USA,African American,USD
32,Male,Bachelor's,Junior Marketing Coordinator,3,55000,Canada,White,CAD
38,Female,Bachelor's,Senior Business Analyst,10,110000,China,White,CNY
48,Male,Master's,Director of Marketing,21,180000,China,Chinese,CNY
31,Female,Bachelor's,Junior Business Development Associate,3,50000,China,Korean,CNY
40,Male,Bachelor's,Senior Financial Analyst,12,130000,Australia,White,AUD
45,Female,PhD,Senior UX Designer,16,160000,Australia,Asian,AUD
33,Male,Bachelor's,Junior Product Manager,4,60000,Canada,Asian,CAD
36,Female,Bachelor's,Senior Marketing Manager,8,95000,China,Korean,CNY
47,Male,Master's,Director of Operations,19,170000,China,Chinese,CNY
29,Female,Bachelor's,Junior Project Manager,2,40000,UK,Mixed,GBP
34,Male,Bachelor's,Senior Operations Coordinator,7,90000,UK,Asian,GBP
44,Female,PhD,Senior Business Analyst,15,150000,UK,White,GBP
33,Male,Bachelor's,Junior Marketing Specialist,5,70000,UK,Welsh,GBP
35,Female,Bachelor's,Senior Financial Manager,8,90000,Australia,White,AUD
43,Male,Master's,Director of Marketing,18,170000,China,Korean,CNY
31,Female,Bachelor's,Junior Financial Analyst,3,50000,UK,Asian,GBP
41,Male,Bachelor's,Senior Product Manager,14,150000,Canada,White,CAD
44,Female,PhD,Senior Data Engineer,16,160000,Canada,Asian,CAD
33,Male,Bachelor's,Junior Business Analyst,4,60000,Canada,Black,CAD
35,Female,Bachelor's,Senior Marketing Analyst,8,85000,Canada,Asian,CAD
45,Male,Master's,Director of Engineering,19,180000,China,Chinese,CNY
28,Female,Bachelor's,Junior Operations Manager,1,35000,Canada,Asian,CAD
36,Male,Bachelor's,Senior Business Development Manager,8,110000,USA,Asian,USD
44,Female,PhD,Senior Data Scientist,16,160000,China,Chinese,CNY
31,Male,Bachelor's,Junior Marketing Coordinator,3,55000,Canada,Black,CAD
38,Female,Bachelor's,Senior Business Analyst,10,110000,Canada,Black,CAD
48,Male,Master's,Director of Marketing,21,180000,Canada,Asian,CAD
31,Female,Bachelor's,Junior Business Development Associate,3,50000,Canada,Black,CAD
40,Male,Bachelor's,Senior Financial Analyst,12,130000,USA,White,USD
45,Female,PhD,Senior UX Designer,16,160000,UK,Asian,GBP
33,Male,Bachelor's,Junior Product Manager,4,60000,Canada,White,CAD
36,Female,Bachelor's,Senior Marketing Manager,8,95000,UK,Welsh,GBP
47,Male,Master's,Director of Operations,19,170000,UK,Welsh,GBP
29,Female,Bachelor's,Junior Project Manager,2,40000,Australia,Australian,AUD
34,Male,Bachelor's,Senior Operations Coordinator,7,90000,China,Chinese,CNY
44,Female,PhD,Senior Business Analyst,15,150000,UK,Welsh,GBP
33,Male,Bachelor's,Junior Marketing Specialist,5,70000,Canada,White,CAD
35,Female,Bachelor's,Senior Financial Manager,8,90000,China,Chinese,CNY
43,Male,Master's,Director of Marketing,18,170000,Canada,Asian,CAD
31,Female,Bachelor's,Junior Financial Analyst,3,50000,Canada,Black,CAD
41,Male,Bachelor's,Senior Product Manager,14,150000,China,Chinese,CNY
44,Female,PhD,Senior Data Engineer,16,160000,Australia,White,AUD
33,Male,Bachelor's,Junior Business Analyst,4,60000,UK,Welsh,GBP
35,Female,Bachelor's,Senior Marketing Analyst,8,85000,China,White,CNY
43,Male,Master's,Director of Operations,19,170000,China,White,CNY
29,Female,Bachelor's,Junior Project Manager,2,40000,USA,Asian,USD
34,Male,Bachelor's,Senior Operations Coordinator,7,90000,China,White,CNY
44,Female,PhD,Senior Business Analyst,15,150000,UK,White,GBP
31,Male,Master's,Data Scientist,6,160000,Australia,White,AUD
28,Female,Bachelor's,Software Engineer,3,125000,Canada,Black,CAD
26,Male,Master's,Product Manager,2,120000,China,White,CNY
27,Female,Bachelor's,Data Analyst,2,110000,UK,Mixed,GBP
30,Male,PhD,Data Scientist,5,180000,China,Korean,CNY
29,Female,Bachelor's,Software Engineer,4,140000,Australia,White,AUD
32,Male,Bachelor's,Product Manager,7,170000,USA,Asian,USD
25,Female,Master's,Data Analyst,1,100000,China,White,CNY
33,Male,PhD,Data Scientist,8,190000,UK,Mixed,GBP
31,Female,Bachelor's,Software Engineer,6,155000,UK,Welsh,GBP
28,Male,Master's,Product Manager,3,130000,Canada,Black,CAD
30,Female,Bachelor's,Data Analyst,5,145000,USA,African American,USD
27,Male,PhD,Data Scientist,2,115000,USA,African American,USD
29,Female,Bachelor's,Software Engineer,4,140000,USA,Hispanic,USD
34,Male,Bachelor's,Product Manager,9,185000,China,Chinese,CNY
25,Female,Master's,Data Analyst,1,100000,Australia,Australian,AUD
